0.8	50	20	30	4766	370	4396	21590	21960	0.0673	196	19771	0.1236	21659	0.0721	26220
0.8	60	20	30	5242	380	4862	21122	21502	0.0753	251	19509	0.1321	21185	0.0804	26220
0.8	70	20	30	5650	436	5214	20717	21153	0.0815	292	19290	0.1396	20800	0.0872	26220
0.8	80	20	30	6084	490	5594	20288	20778	0.0885	307	19103	0.1458	20389	0.0947	26220
0.8	90	20	30	6420	543	5877	19954	20497	0.0936	338	18925	0.1524	20066	0.1006	26220
0.8	100	20	30	6734	609	6125	19644	20253	0.0983	395	18791	0.1588	19746	0.1065	26220
0.8	110	20	30	7072	637	6435	19306	19943	0.1042	433	18713	0.163	19435	0.1124	26220
0.8	120	20	30	7362	682	6680	19019	19701	0.1089	449	18647	0.1665	19164	0.1176	26220
0.8	130	20	30	7609	739	6870	18773	19512	0.1127	504	18562	0.1718	18921	0.1223	26220
0.8	140	20	30	7856	766	7090	18527	19293	0.117	519	18494	0.175	18667	0.1272	26220
0.8	150	20	30	8127	832	7295	18259	19091	0.1212	562	18464	0.1783	18397	0.1325	26220
