0.8	100	20	5	6890	1626	5264	19485	21111	0.0847	2295	20691	0.1588	19855	0.1033	26220
0.8	100	20	10	6792	1008	5784	19586	20594	0.0929	1166	19562	0.1588	19755	0.106	26220
0.8	100	20	15	6759	799	5960	19617	20416	0.0957	764	19160	0.1588	19744	0.1063	26220
0.8	100	20	20	6750	656	6094	19627	20283	0.0978	595	18991	0.1588	19754	0.1063	26220
0.8	100	20	25	6740	640	6100	19635	20275	0.0979	458	18854	0.1588	19744	0.1065	26220
0.8	100	20	30	6734	609	6125	19644	20253	0.0983	395	18791	0.1588	19746	0.1065	26220
0.8	100	20	35	6729	544	6185	19648	20192	0.0993	346	18742	0.1588	19744	0.1065	26220
0.8	100	20	40	6719	543	6176	19655	20198	0.0991	297	18693	0.1588	19747	0.1065	26220
0.8	100	20	45	6727	526	6201	19650	20176	0.0995	286	18682	0.1588	19744	0.1065	26220
0.8	100	20	50	6729	496	6233	19648	20144	0.1	248	18644	0.1588	19744	0.1065	26220
